"id_estado_municipio","estado","descripcion_estado","municipio","descripcion_municipio"
-1,-1,"Sin clasificar",-1,"Sin clasificar"
48401001,1,"AGUASCALIENTES",1,"AGUASCALIENTES"
48401002,1,"AGUASCALIENTES",2,"ASIENTOS"
48401003,1,"AGUASCALIENTES",3,"CALVILLO"
48401004,1,"AGUASCALIENTES",4,"COSÍO"
48401005,1,"AGUASCALIENTES",5,"JESUS MARIA"
48401006,1,"AGUASCALIENTES",6,"PABELLON DE ARTEAGA"
48401007,1,"AGUASCALIENTES",7,"RINCON DE ROMOS"
48401008,1,"AGUASCALIENTES",8,"SAN JOSE DE GRACIA"
48401009,1,"AGUASCALIENTES",9,"TEPEZALA"
48401010,1,"AGUASCALIENTES",10,"EL LLANO"
48401011,1,"AGUASCALIENTES",11,"SAN FRANCISCO DE LOS ROMO"
48402001,2,"BAJA CALIFORNIA",1,"ENSENADA"
48402002,2,"BAJA CALIFORNIA",2,"MEXICALI"
48402003,2,"BAJA CALIFORNIA",3,"TECATE"
48402004,2,"BAJA CALIFORNIA",4,"TIJUANA"
48402005,2,"BAJA CALIFORNIA",5,"PLAYAS DE ROSARITO"
48402006,2,"BAJA CALIFORNIA",6,"SAN QUINTÍN"
48402007,2,"BAJA CALIFORNIA",7,"SAN FELIPE"
48403001,3,"BAJA CALIFORNIA SUR",1,"COMONDU"
48403002,3,"BAJA CALIFORNIA SUR",2,"MULEGE"
48403003,3,"BAJA CALIFORNIA SUR",3,"LA PAZ"
48403008,3,"BAJA CALIFORNIA SUR",8,"LOS CABOS"
48403009,3,"BAJA CALIFORNIA SUR",9,"LORETO"
48404001,4,"CAMPECHE",1,"CALKINI"
48404002,4,"CAMPECHE",2,"CAMPECHE"
48404003,4,"CAMPECHE",3,"CIUDAD DEL CARMEN"
48404004,4,"CAMPECHE",4,"CHAMPOTON"
48404005,4,"CAMPECHE",5,"HECELCHAKAN"
48404006,4,"CAMPECHE",6,"HOPELCHEN"
48404007,4,"CAMPECHE",7,"PALIZADA"
48404008,4,"CAMPECHE",8,"TENABO"
48404009,4,"CAMPECHE",9,"ESCARCEGA"
48404010,4,"CAMPECHE",10,"CALAKMUL"
48404011,4,"CAMPECHE",11,"CANDELARIA"
48404012,4,"CAMPECHE",12,"SEYBAPLAYA"
48404013,4,"CAMPECHE",13,"DZITBALCHÉ"
48405001,5,"COAHUILA DE ZARAGOZA",1,"ABASOLO"
48405002,5,"COAHUILA DE ZARAGOZA",2,"ACUÑA"
48405003,5,"COAHUILA DE ZARAGOZA",3,"ALLENDE"
48405004,5,"COAHUILA DE ZARAGOZA",4,"ARTEAGA"
48405005,5,"COAHUILA DE ZARAGOZA",5,"CANDELA"
48405006,5,"COAHUILA DE ZARAGOZA",6,"CASTAÑOS"
48405007,5,"COAHUILA DE ZARAGOZA",7,"CUATRO CIENEGAS"
