"sector","tipo_info_operativa","descripcion_tipo_info_operativa"
40,-1,"Sin clasificar"
40,31,"Número de Sucursales"
40,32,"Núm. Contr. Tarjeta de Crédito"
40,33,"Número de Cajeros Automáticos"
40,34,"Número de Transacciones en Cajeros Automáticos"
40,35,"Número de Terminales Punto de Venta"
40,36,"Número de Establecimientos con TPV"
40,37,"Número de Transacciones en TPV"
40,38,"Núm. Contr. Tarjeta de Débito"
40,39,"Número de Per. Contratado por la Institución"
40,40,"Número de Per. Contratado por la Emp. Pres. Ser."
40,41,"Núm. Contr. Trans. a través del Tel. Celular"
40,42,"Núm. Contr. Tarj. Emitidas por la Institución"
40,44,"Cajero Automático (ATM) sólo Retiros"
40,45,"Cajero Automático (ATM) sólo Depósitos"
40,46,"Cajero Automático (ATM) Retiros y Depósitos"
40,47,"Núm. Contr. Tarj. Emi. Subs. de la Insititución"
40,51,"Núm. Contr. Tarjeta de Crédito Empresarial"
40,70,"Oficinas Administrativas con Atención al Público"
40,71,"Núm Pers Contr Inst Forma Part Personal  Alta Dir"
40,91,"Núm de Suc cerradas temporalmente Huracán Otis"
40,92,"Número de Cajeros inhabilitados por Huracán ""Otis"""
